File,Similarity
../data/text/6699.txt,0.8764864
../data/text/7690.txt,0.8851706
../data/text/9339.txt,0.8941684
../data/text/971.txt,0.8989401
../data/text/5592.txt,0.8746258
../data/text/6371.txt,0.8589242
../data/text/5956.txt,0.8913769
../data/text/705.txt,0.8916568
../data/text/7684.txt,0.84645444
../data/text/6395.txt,0.8918531
../data/text/5067.txt,0.8475021
../data/text/2403.txt,0.88788533
../data/text/5610.txt,0.8700318
../data/text/5409.txt,0.89976484
../data/text/4829.txt,0.8720821
../data/text/3530.txt,0.90134865
../data/text/3903.txt,0.8564637
../data/text/2660.txt,0.9096739
../data/text/1041.txt,0.9005295
../data/text/1435.txt,0.8998872
../data/text/5275.txt,0.87787175
../data/text/5345.txt,0.89342284
../data/text/2607.txt,0.91683185
../data/text/5708.txt,0.88556206
../data/text/3004.txt,0.8883164
../data/text/647.txt,0.87884367
../data/text/5216.txt,0.8629999
../data/text/9571.txt,0.880612
../data/text/1676.txt,0.872028
../data/text/4159.txt,0.90578866
../data/text/5551.txt,0.8983065
../data/text/4507.txt,0.8883375
../data/text/5866.txt,0.88991904
../data/text/6121.txt,0.88120824
../data/text/6315.txt,0.89071715
../data/text/6248.txt,0.8930557
../data/text/9034.txt,0.90023327
../data/text/7537.txt,0.8897257
../data/text/4785.txt,0.86511874
../data/text/7495.txt,0.8823779
../data/text/3379.txt,0.88868344
../data/text/1987.txt,0.9035481
../data/text/1554.txt,0.9324645
../data/text/9001.txt,0.8602301
../data/text/3608.txt,0.90810585
../data/text/3336.txt,0.88716125
../data/text/531.txt,0.9082818
../data/text/645.txt,0.9020755
../data/text/8116.txt,0.88247013
../data/text/8123.txt,0.9040664
../data/text/8571.txt,0.906057
../data/text/8597.txt,0.8950354
../data/text/6626.txt,0.87344956
../data/text/5161.txt,0.92053187
../data/text/5541.txt,0.904449
../data/text/534.txt,0.90161145
../data/text/2471.txt,0.85939294
../data/text/8502.txt,0.92259765
../data/text/4392.txt,0.87235224
../data/text/2264.txt,0.8787421
../data/text/3421.txt,0.8974732
../data/text/9851.txt,0.851696
../data/text/4561.txt,0.90164185
../data/text/7105.txt,0.8938954
../data/text/8475.txt,0.882253
../data/text/5598.txt,0.9068985
../data/text/4869.txt,0.90614367
../data/text/8630.txt,0.90094054
../data/text/2451.txt,0.89454174
../data/text/8434.txt,0.88123775
../data/text/6375.txt,0.9063679
../data/text/9473.txt,0.9036499
../data/text/70.txt,0.8872529
../data/text/8433.txt,0.8983033
../data/text/7131.txt,0.8879113
../data/text/3727.txt,0.88887644
../data/text/6696.txt,0.89295626
../data/text/4493.txt,0.8725124
../data/text/7659.txt,0.88333225
../data/text/17.txt,0.8945521
../data/text/8491.txt,0.89745075
../data/text/9747.txt,0.8941691
../data/text/8684.txt,0.88867974
../data/text/7183.txt,0.9218019
../data/text/5199.txt,0.9156344
../data/text/8506.txt,0.88660836
../data/text/7790.txt,0.8801228
../data/text/3871.txt,0.9000232
../data/text/8905.txt,0.8944868
../data/text/704.txt,0.85818386
../data/text/8245.txt,0.89412844
../data/text/1173.txt,0.88198465
../data/text/3744.txt,0.8990854
../data/text/2267.txt,0.87915546
../data/text/4386.txt,0.87474453
../data/text/3607.txt,0.88864374
../data/text/6984.txt,0.86287284
../data/text/9441.txt,0.8964292
../data/text/2347.txt,0.8918685
../data/text/8383.txt,0.87641156
../data/text/1276.txt,0.88662153
../data/text/6482.txt,0.87558746
../data/text/9894.txt,0.84438413
../data/text/938.txt,0.8846271
../data/text/3442.txt,0.8913099
../data/text/7858.txt,0.9170381
../data/text/9465.txt,0.86028504
../data/text/593.txt,0.91160303
../data/text/4754.txt,0.89519405
../data/text/6012.txt,0.88434696
../data/text/3826.txt,0.88165617
../data/text/3836.txt,0.8848253
../data/text/4815.txt,0.88720095
../data/text/6641.txt,0.87567
../data/text/334.txt,0.89107984
../data/text/5760.txt,0.8912462
../data/text/5018.txt,0.88630193
../data/text/7952.txt,0.8782465
../data/text/6634.txt,0.90630776
../data/text/905.txt,0.8478716
../data/text/6065.txt,0.8897485
../data/text/115.txt,0.888786
../data/text/7361.txt,0.92256
../data/text/6061.txt,0.9064438
../data/text/3932.txt,0.8720387
../data/text/726.txt,0.8923215
../data/text/7132.txt,0.90053034
../data/text/1135.txt,0.85594517
../data/text/4247.txt,0.8804184
../data/text/794.txt,0.89087343
../data/text/3629.txt,0.8874624
../data/text/5138.txt,0.899819
../data/text/7269.txt,0.87978053
../data/text/8149.txt,0.89616114
../data/text/6812.txt,0.86518264
../data/text/7755.txt,0.9061942
../data/text/9865.txt,0.898407
../data/text/1104.txt,0.89345753
../data/text/5783.txt,0.8749154
../data/text/1868.txt,0.90150225
../data/text/1352.txt,0.89157915
../data/text/336.txt,0.8681666
../data/text/6655.txt,0.8945807
../data/text/1028.txt,0.88434607
../data/text/5384.txt,0.8835912
../data/text/7281.txt,0.8733366
../data/text/1627.txt,0.8995241
../data/text/3671.txt,0.85676867
../data/text/9573.txt,0.8728398
../data/text/1925.txt,0.8679025
../data/text/4103.txt,0.85683614
../data/text/2987.txt,0.82641333
../data/text/9541.txt,0.8863378
../data/text/9080.txt,0.9038139
../data/text/1862.txt,0.887277
../data/text/5233.txt,0.8973639
../data/text/8300.txt,0.8979573
../data/text/9840.txt,0.89218485
../data/text/743.txt,0.87896025
../data/text/6673.txt,0.885529
../data/text/9318.txt,0.88958305
../data/text/6374.txt,0.86802053
../data/text/8767.txt,0.90246576
../data/text/7852.txt,0.8899338
../data/text/3879.txt,0.9164839
../data/text/2033.txt,0.8671934
../data/text/2847.txt,0.90331185
